code,identity,observedA,observedB,cat_A,cat_B,A_climate_concern,A_gay_adoption,A_migration_enriches_culture,A_govt_reduce_inequ,B_climate_concern,B_gay_adoption,B_migration_enriches_culture,B_govt_reduce_inequ,ed_climate_concern,ed_gay_adoption,ed_migration_enriches_culture,ed_govt_reduce_inequ,posAx,posAy,posBx,posBy,euclideanDistance,perceivedDistance
652hnk9k,Grüne,P1,P4,P,P,3,3,3.0,5,3,3,5.0,3,0,0,2.0,2,286.5,369.6000061035156,109.5,225.60000610351562,2.8284271247461903,228.17756243767704
652hnk9k,Grüne,P2,P3,P,P,3,5,3.0,5,1,1,1.0,1,2,4,2.0,4,170.5,441.6000061035156,395.5,168.60000610351562,6.324555320336759,353.7711124441904
652hnk9k,Grüne,P2,P4,P,P,3,5,3.0,5,3,3,5.0,3,0,2,2.0,2,170.5,441.6000061035156,109.5,225.60000610351562,3.4641016151377544,224.44821228960592
652hnk9k,Grüne,P3,P4,P,P,1,1,1.0,1,3,3,5.0,3,2,2,4.0,2,395.5,168.60000610351562,109.5,225.60000610351562,5.291502622129181,291.62475889402805
t0az7zj6,Grüne,self,friend1,self,friend,1,1,2.0,3,1,1,2.0,2,0,0,0.0,1,328.5,200.60000610351562,375.5,189.60000610351562,1.0,48.27007354458868
t0az7zj6,Grüne,self,friend2,self,friend,1,1,2.0,3,1,1,1.0,1,0,0,1.0,2,328.5,200.60000610351562,475.5,130.60000610351562,2.23606797749979,162.8158468945821
t0az7zj6,Grüne,self,friend3,self,friend,1,1,2.0,3,2,2,3.0,3,1,1,1.0,0,328.5,200.60000610351562,238.5,201.60000610351562,1.7320508075688772,90.00555538409837
t0az7zj6,Grüne,self,GreenVoter,self,voter,1,1,2.0,3,1,1,1.0,2,0,0,1.0,1,328.5,200.60000610351562,351.5,177.60000610351562,1.4142135623730951,32.526911934581186
t0az7zj6,Grüne,self,AfDVoter,self,voter,1,1,2.0,3,5,4,5.0,3,4,3,3.0,0,328.5,200.60000610351562,19.5,411.6000061035156,5.830951894845301,374.1684112802683
t0az7zj6,Grüne,self,P1,self,P,1,1,2.0,3,3,3,3.0,5,2,2,1.0,2,328.5,200.60000610351562,252.5,385.6000061035156,3.605551275463989,200.0024999843752
t0az7zj6,Grüne,self,P2,self,P,1,1,2.0,3,3,5,3.0,5,2,4,1.0,2,328.5,200.60000610351562,132.5,435.6000061035156,5.0,306.00816982557836
t0az7zj6,Grüne,self,P3,self,P,1,1,2.0,3,1,1,1.0,1,0,0,1.0,2,328.5,200.60000610351562,439.5,143.60000610351562,2.23606797749979,124.77980605851253
t0az7zj6,Grüne,self,P4,self,P,1,1,2.0,3,3,3,5.0,3,2,2,3.0,0,328.5,200.60000610351562,139.5,302.6000061035156,4.123105625617661,214.76731594914529
t0az7zj6,Grüne,friend1,friend2,friend,friend,1,1,2.0,2,1,1,1.0,1,0,0,1.0,1,375.5,189.60000610351562,475.5,130.60000610351562,1.4142135623730951,116.1077086157504
t0az7zj6,Grüne,friend1,friend3,friend,friend,1,1,2.0,2,2,2,3.0,3,1,1,1.0,1,375.5,189.60000610351562,238.5,201.60000610351562,2.0,137.5245432641025
t0az7zj6,Grüne,friend1,GreenVoter,friend,voter,1,1,2.0,2,1,1,1.0,2,0,0,1.0,0,375.5,189.60000610351562,351.5,177.60000610351562,1.0,26.832815729997478
t0az7zj6,Grüne,friend1,AfDVoter,friend,voter,1,1,2.0,2,5,4,5.0,3,4,3,3.0,1,375.5,189.60000610351562,19.5,411.6000061035156,5.916079783099616,419.5473751556551
t0az7zj6,Grüne,friend1,P1,friend,P,1,1,2.0,2,3,3,3.0,5,2,2,1.0,3,375.5,189.60000610351562,252.5,385.6000061035156,4.242640687119285,231.39792566053828
t0az7zj6,Grüne,friend1,P2,friend,P,1,1,2.0,2,3,5,3.0,5,2,4,1.0,3,375.5,189.60000610351562,132.5,435.6000061035156,5.477225575051661,345.7817230566127
t0az7zj6,Grüne,friend1,P3,friend,P,1,1,2.0,2,1,1,1.0,1,0,0,1.0,1,375.5,189.60000610351562,439.5,143.60000610351562,1.4142135623730951,78.81624198095213
t0az7zj6,Grüne,friend1,P4,friend,P,1,1,2.0,2,3,3,5.0,3,2,2,3.0,1,375.5,189.60000610351562,139.5,302.6000061035156,4.242640687119285,261.658173959844
t0az7zj6,Grüne,friend2,friend3,friend,friend,1,1,1.0,1,2,2,3.0,3,1,1,2.0,2,475.5,130.60000610351562,238.5,201.60000610351562,3.1622776601683795,247.40654801358835
t0az7zj6,Grüne,friend2,GreenVoter,friend,voter,1,1,1.0,1,1,1,1.0,2,0,0,0.0,1,475.5,130.60000610351562,351.5,177.60000610351562,1.0,132.60844618650805
t0az7zj6,Grüne,friend2,AfDVoter,friend,voter,1,1,1.0,1,5,4,5.0,3,4,3,4.0,2,475.5,130.60000610351562,19.5,411.6000061035156,6.708203932499369,535.6276691882151
t0az7zj6,Grüne,friend2,P1,friend,P,1,1,1.0,1,3,3,3.0,5,2,2,2.0,4,475.5,130.60000610351562,252.5,385.6000061035156,5.291502622129181,338.7535977668724
t0az7zj6,Grüne,friend2,P2,friend,P,1,1,1.0,1,3,5,3.0,5,2,4,2.0,4,475.5,130.60000610351562,132.5,435.6000061035156,6.324555320336759,458.99237466432925
t0az7zj6,Grüne,friend2,P3,friend,P,1,1,1.0,1,1,1,1.0,1,0,0,0.0,0,475.5,130.60000610351562,439.5,143.60000610351562,0.0,38.27531841800928
t0az7zj6,Grüne,friend2,P4,friend,P,1,1,1.0,1,3,3,5.0,3,2,2,4.0,2,475.5,130.60000610351562,139.5,302.6000061035156,5.291502622129181,377.46523018683456
t0az7zj6,Grüne,friend3,GreenVoter,friend,voter,2,2,3.0,3,1,1,1.0,2,1,1,2.0,1,238.5,201.60000610351562,351.5,177.60000610351562,2.6457513110645907,115.52056094046635
t0az7zj6,Grüne,friend3,AfDVoter,friend,voter,2,2,3.0,3,5,4,5.0,3,3,2,2.0,0,238.5,201.60000610351562,19.5,411.6000061035156,4.123105625617661,303.41555662160766
t0az7zj6,Grüne,friend3,P1,friend,P,2,2,3.0,3,3,3,3.0,5,1,1,0.0,2,238.5,201.60000610351562,252.5,385.6000061035156,2.449489742783178,184.53184007102948
t0az7zj6,Grüne,friend3,P2,friend,P,2,2,3.0,3,3,5,3.0,5,1,3,0.0,2,238.5,201.60000610351562,132.5,435.6000061035156,3.7416573867739413,256.8890811225732
t0az7zj6,Grüne,friend3,P3,friend,P,2,2,3.0,3,1,1,1.0,1,1,1,2.0,2,238.5,201.60000610351562,439.5,143.60000610351562,3.1622776601683795,209.2008604188807
t0az7zj6,Grüne,friend3,P4,friend,P,2,2,3.0,3,3,3,5.0,3,1,1,2.0,0,238.5,201.60000610351562,139.5,302.6000061035156,2.449489742783178,141.42842712835352
t0az7zj6,Grüne,GreenVoter,AfDVoter,voter,voter,1,1,1.0,2,5,4,5.0,3,4,3,4.0,1,351.5,177.60000610351562,19.5,411.6000061035156,6.48074069840786,406.1773011875479
t0az7zj6,Grüne,GreenVoter,P1,voter,P,1,1,1.0,2,3,3,3.0,5,2,2,2.0,3,351.5,177.60000610351562,252.5,385.6000061035156,4.58257569495584,230.3584163862914
t0az7zj6,Grüne,GreenVoter,P2,voter,P,1,1,1.0,2,3,5,3.0,5,2,4,2.0,3,351.5,177.60000610351562,132.5,435.6000061035156,5.744562646538029,338.4154251803543
t0az7zj6,Grüne,GreenVoter,P3,voter,P,1,1,1.0,2,1,1,1.0,1,0,0,0.0,1,351.5,177.60000610351562,439.5,143.60000610351562,1.0,94.33981132056604
t0az7zj6,Grüne,GreenVoter,P4,voter,P,1,1,1.0,2,3,3,5.0,3,2,2,4.0,1,351.5,177.60000610351562,139.5,302.6000061035156,5.0,246.10770000144245
t0az7zj6,Grüne,AfDVoter,P1,voter,P,5,4,5.0,3,3,3,3.0,5,2,1,2.0,2,19.5,411.6000061035156,252.5,385.6000061035156,3.605551275463989,234.44615586526473
t0az7zj6,Grüne,AfDVoter,P2,voter,P,5,4,5.0,3,3,5,3.0,5,2,1,2.0,2,19.5,411.6000061035156,132.5,435.6000061035156,3.605551275463989,115.52056094046635
t0az7zj6,Grüne,AfDVoter,P3,voter,P,5,4,5.0,3,1,1,1.0,1,4,3,4.0,2,19.5,411.6000061035156,439.5,143.60000610351562,6.708203932499369,498.22083457037405
t0az7zj6,Grüne,AfDVoter,P4,voter,P,5,4,5.0,3,3,3,5.0,3,2,1,0.0,0,19.5,411.6000061035156,139.5,302.6000061035156,2.23606797749979,162.1141573089778
t0az7zj6,Grüne,P1,P2,P,P,3,3,3.0,5,3,5,3.0,5,0,2,0.0,0,252.5,385.6000061035156,132.5,435.6000061035156,2.0,130.0
t0az7zj6,Grüne,P1,P3,P,P,3,3,3.0,5,1,1,1.0,1,2,2,2.0,4,252.5,385.6000061035156,439.5,143.60000610351562,5.291502622129181,305.83165303807255
t0az7zj6,Grüne,P1,P4,P,P,3,3,3.0,5,3,3,5.0,3,0,0,2.0,2,252.5,385.6000061035156,139.5,302.6000061035156,2.8284271247461903,140.2069898400219
t0az7zj6,Grüne,P2,P3,P,P,3,5,3.0,5,1,1,1.0,1,2,4,2.0,4,132.5,435.6000061035156,439.5,143.60000610351562,6.324555320336759,423.6897449785633
t0az7zj6,Grüne,P2,P4,P,P,3,5,3.0,5,3,3,5.0,3,0,2,2.0,2,132.5,435.6000061035156,139.5,302.6000061035156,3.4641016151377544,133.18408313308313
t0az7zj6,Grüne,P3,P4,P,P,1,1,1.0,1,3,3,5.0,3,2,2,4.0,2,439.5,143.60000610351562,139.5,302.6000061035156,5.291502622129181,339.53055827126957
hbj9lrar,refuse to say,self,friend1,self,friend,1,1,1.0,1,1,1,1.0,1,0,0,0.0,0,100.0,100.0,130.83331298828125,76.19999694824219,0.0,38.95039582721842
hbj9lrar,refuse to say,self,friend2,self,friend,1,1,1.0,1,2,2,2.0,2,1,1,1.0,1,100.0,100.0,97.83331298828125,188.1999969482422,2.0,88.22660593197882
hbj9lrar,refuse to say,self,friend3,self,friend,1,1,1.0,1,1,1,,1,0,0,,0,100.0,100.0,67.83331298828125,40.19999694824219,,67.90240141777107
hbj9lrar,refuse to say,self,GreenVoter,self,voter,1,1,1.0,1,2,2,3.0,3,1,1,2.0,2,100.0,100.0,214.83331298828125,152.1999969482422,3.1622776601683795,126.14091110048737
hbj9lrar,refuse to say,self,AfDVoter,self,voter,1,1,1.0,1,4,3,4.0,4,3,2,3.0,3,100.0,100.0,376.83331298828125,376.83331298828125,5.5677643628300215,391.5014257447032
hbj9lrar,refuse to say,self,P1,self,P,1,1,1.0,1,3,3,3.0,5,2,2,2.0,4,100.0,100.0,144.83331298828125,428.1999969482422,5.291502622129181,331.24803991922937
hbj9lrar,refuse to say,self,P2,self,P,1,1,1.0,1,3,5,3.0,5,2,4,2.0,4,100.0,100.0,373.83331298828125,470.6000061035156,6.324555320336759,460.79176189040516
hbj9lrar,refuse to say,self,P3,self,P,1,1,1.0,1,1,1,1.0,1,0,0,0.0,0,100.0,100.0,170.83331298828125,34.600006103515625,0.0,96.40807762089236
hbj9lrar,refuse to say,self,P4,self,P,1,1,1.0,1,3,3,5.0,3,2,2,4.0,2,100.0,100.0,426.83331298828125,438.8000030517578,5.291502622129181,470.74988746336084
hbj9lrar,refuse to say,friend1,friend2,friend,friend,1,1,1.0,1,2,2,2.0,2,1,1,1.0,1,130.83331298828125,76.19999694824219,97.83331298828125,188.1999969482422,2.0,116.76043850551436
hbj9lrar,refuse to say,friend1,friend3,friend,friend,1,1,1.0,1,1,1,,1,0,0,,0,130.83331298828125,76.19999694824219,67.83331298828125,40.19999694824219,,72.56031973468694
hbj9lrar,refuse to say,friend1,GreenVoter,friend,voter,1,1,1.0,1,2,2,3.0,3,1,1,2.0,2,130.83331298828125,76.19999694824219,214.83331298828125,152.1999969482422,3.1622776601683795,113.27841806805037
hbj9lrar,refuse to say,friend1,AfDVoter,friend,voter,1,1,1.0,1,4,3,4.0,4,3,2,3.0,3,130.83331298828125,76.19999694824219,376.83331298828125,376.83331298828125,5.5677643628300215,388.4538463102534
hbj9lrar,refuse to say,friend1,P1,friend,P,1,1,1.0,1,3,3,3.0,5,2,2,2.0,4,130.83331298828125,76.19999694824219,144.83331298828125,428.1999969482422,5.291502622129181,352.27829907617075
hbj9lrar,refuse to say,friend1,P2,friend,P,1,1,1.0,1,3,5,3.0,5,2,4,2.0,4,130.83331298828125,76.19999694824219,373.83331298828125,470.6000061035156,6.324555320336759,463.2497892300436
hbj9lrar,refuse to say,friend1,P3,friend,P,1,1,1.0,1,1,1,1.0,1,0,0,0.0,0,130.83331298828125,76.19999694824219,170.83331298828125,34.600006103515625,0.0,57.710997550565125
hbj9lrar,refuse to say,friend1,P4,friend,P,1,1,1.0,1,3,3,5.0,3,2,2,4.0,2,130.83331298828125,76.19999694824219,426.83331298828125,438.8000030517578,5.291502622129181,468.0755969138634
hbj9lrar,refuse to say,friend2,friend3,friend,friend,2,2,2.0,2,1,1,,1,1,1,,1,97.83331298828125,188.1999969482422,67.83331298828125,40.19999694824219,,151.00993344810135
hbj9lrar,refuse to say,friend2,GreenVoter,friend,voter,2,2,2.0,2,2,2,3.0,3,0,0,1.0,1,97.83331298828125,188.1999969482422,214.83331298828125,152.1999969482422,1.4142135623730951,122.41323457861898
hbj9lrar,refuse to say,friend2,AfDVoter,friend,voter,2,2,2.0,2,4,3,4.0,4,2,1,2.0,2,97.83331298828125,188.1999969482422,376.83331298828125,376.83331298828125,3.605551275463989,336.78409689333796
hbj9lrar,refuse to say,friend2,P1,friend,P,2,2,2.0,2,3,3,3.0,5,1,1,1.0,3,97.83331298828125,188.1999969482422,144.83331298828125,428.1999969482422,3.4641016151377544,244.55878638887626
hbj9lrar,refuse to say,friend2,P2,friend,P,2,2,2.0,2,3,5,3.0,5,1,3,1.0,3,97.83331298828125,188.1999969482422,373.83331298828125,470.6000061035156,4.47213595499958,394.87436631275335
hbj9lrar,refuse to say,friend2,P3,friend,P,2,2,2.0,2,1,1,1.0,1,1,1,1.0,1,97.83331298828125,188.1999969482422,170.83331298828125,34.600006103515625,2.0,170.0645677015059
hbj9lrar,refuse to say,friend2,P4,friend,P,2,2,2.0,2,3,3,5.0,3,1,1,3.0,1,97.83331298828125,188.1999969482422,426.83331298828125,438.8000030517578,3.4641016151377544,413.57147273365223
hbj9lrar,refuse to say,friend3,GreenVoter,friend,voter,1,1,,1,2,2,3.0,3,1,1,,2,67.83331298828125,40.19999694824219,214.83331298828125,152.1999969482422,,184.8053029542172
hbj9lrar,refuse to say,friend3,AfDVoter,friend,voter,1,1,,1,4,3,4.0,4,3,2,,3,67.83331298828125,40.19999694824219,376.83331298828125,376.83331298828125,,456.9496574767431
hbj9lrar,refuse to say,friend3,P1,friend,P,1,1,,1,3,3,3.0,5,2,2,,4,67.83331298828125,40.19999694824219,144.83331298828125,428.1999969482422,,395.56668211567063
hbj9lrar,refuse to say,friend3,P2,friend,P,1,1,,1,3,5,3.0,5,2,4,,4,67.83331298828125,40.19999694824219,373.83331298828125,470.6000061035156,,528.0910602167579
