code,id,question,response
hbj9lrar,self,perceived_distance,
hbj9lrar,friend1,perceived_distance,38.95039582721842
hbj9lrar,friend2,perceived_distance,88.22660593197882
hbj9lrar,friend3,perceived_distance,67.90240141777107
hbj9lrar,GreenVoter,perceived_distance,126.14091110048737
hbj9lrar,AfDVoter,perceived_distance,391.5014257447032
hbj9lrar,P1,perceived_distance,331.24803991922937
hbj9lrar,P2,perceived_distance,460.79176189040516
hbj9lrar,P3,perceived_distance,96.40807762089236
hbj9lrar,P4,perceived_distance,470.74988746336084
hbj9lrar,self,manhattan_distance,
hbj9lrar,friend1,manhattan_distance,0.0
hbj9lrar,friend2,manhattan_distance,1.0
hbj9lrar,friend3,manhattan_distance,
hbj9lrar,GreenVoter,manhattan_distance,1.5
hbj9lrar,AfDVoter,manhattan_distance,2.75
hbj9lrar,P1,manhattan_distance,1.25
hbj9lrar,P2,manhattan_distance,1.5
hbj9lrar,P3,manhattan_distance,0.0
hbj9lrar,P4,manhattan_distance,1.25
hbj9lrar,self,euclidean_distance,
hbj9lrar,friend1,euclidean_distance,0.0
hbj9lrar,friend2,euclidean_distance,2.0
hbj9lrar,friend3,euclidean_distance,
hbj9lrar,GreenVoter,euclidean_distance,3.1622776601683795
hbj9lrar,AfDVoter,euclidean_distance,5.5677643628300215
hbj9lrar,P1,euclidean_distance,2.6457513110645907
hbj9lrar,P2,euclidean_distance,3.1622776601683795
hbj9lrar,P3,euclidean_distance,0.0
hbj9lrar,P4,euclidean_distance,2.6457513110645907
zhlebtjq,self,climate_concern,1
zhlebtjq,friend1,climate_concern,1
zhlebtjq,friend2,climate_concern,1
zhlebtjq,friend3,climate_concern,2
zhlebtjq,GreenVoter,climate_concern,1
zhlebtjq,AfDVoter,climate_concern,3
zhlebtjq,P1,climate_concern,0
zhlebtjq,P2,climate_concern,0
zhlebtjq,P3,climate_concern,1
zhlebtjq,P4,climate_concern,0
zhlebtjq,self,gay_adoption,1
zhlebtjq,friend1,gay_adoption,2
zhlebtjq,friend2,gay_adoption,1
zhlebtjq,friend3,gay_adoption,1
zhlebtjq,GreenVoter,gay_adoption,1
zhlebtjq,AfDVoter,gay_adoption,4
zhlebtjq,P1,gay_adoption,0
zhlebtjq,P2,gay_adoption,-1
zhlebtjq,P3,gay_adoption,1
zhlebtjq,P4,gay_adoption,0
zhlebtjq,self,migration_enriches_culture,1
zhlebtjq,friend1,migration_enriches_culture,2
zhlebtjq,friend2,migration_enriches_culture,1
zhlebtjq,friend3,migration_enriches_culture,2
zhlebtjq,GreenVoter,migration_enriches_culture,2
zhlebtjq,AfDVoter,migration_enriches_culture,5
zhlebtjq,P1,migration_enriches_culture,0
zhlebtjq,P2,migration_enriches_culture,0
zhlebtjq,P3,migration_enriches_culture,1
zhlebtjq,P4,migration_enriches_culture,-1
zhlebtjq,self,govt_reduce_inequ,1
zhlebtjq,friend1,govt_reduce_inequ,3
zhlebtjq,friend2,govt_reduce_inequ,2
zhlebtjq,friend3,govt_reduce_inequ,1
zhlebtjq,GreenVoter,govt_reduce_inequ,2
zhlebtjq,AfDVoter,govt_reduce_inequ,3
zhlebtjq,P1,govt_reduce_inequ,-1
zhlebtjq,P2,govt_reduce_inequ,-1
zhlebtjq,P3,govt_reduce_inequ,1
zhlebtjq,P4,govt_reduce_inequ,0
zhlebtjq,self,name,zhlebtjq
zhlebtjq,friend1,name,Mama
zhlebtjq,friend2,name,Annika
zhlebtjq,friend3,name,Ben
zhlebtjq,GreenVoter,name,GreenVoter
zhlebtjq,AfDVoter,name,AfDVoter
zhlebtjq,P1,name,P1
zhlebtjq,P2,name,P2
zhlebtjq,P3,name,P3
zhlebtjq,P4,name,P4
zhlebtjq,self,perceived_distance,
zhlebtjq,friend1,perceived_distance,119.4361754243663
zhlebtjq,friend2,perceived_distance,34.48187929913333
zhlebtjq,friend3,perceived_distance,76.68767828015137
zhlebtjq,GreenVoter,perceived_distance,80.15609770940699
zhlebtjq,AfDVoter,perceived_distance,438.02454860056804
zhlebtjq,P1,perceived_distance,333.22959187088645
zhlebtjq,P2,perceived_distance,401.2245744475593
zhlebtjq,P3,perceived_distance,52.56006455230268
zhlebtjq,P4,perceived_distance,425.2812643201419
zhlebtjq,self,manhattan_distance,
zhlebtjq,friend1,manhattan_distance,1.0
zhlebtjq,friend2,manhattan_distance,0.25
zhlebtjq,friend3,manhattan_distance,0.5
zhlebtjq,GreenVoter,manhattan_distance,0.5
zhlebtjq,AfDVoter,manhattan_distance,2.75
zhlebtjq,P1,manhattan_distance,1.25
zhlebtjq,P2,manhattan_distance,1.5
zhlebtjq,P3,manhattan_distance,0.0
zhlebtjq,P4,manhattan_distance,1.25
zhlebtjq,self,euclidean_distance,
zhlebtjq,friend1,euclidean_distance,2.449489742783178
zhlebtjq,friend2,euclidean_distance,1.0
zhlebtjq,friend3,euclidean_distance,1.4142135623730951
zhlebtjq,GreenVoter,euclidean_distance,1.4142135623730951
zhlebtjq,AfDVoter,euclidean_distance,5.744562646538029
zhlebtjq,P1,euclidean_distance,2.6457513110645907
zhlebtjq,P2,euclidean_distance,3.1622776601683795
zhlebtjq,P3,euclidean_distance,0.0
zhlebtjq,P4,euclidean_distance,2.6457513110645907
b4wvjphf,self,climate_concern,2
b4wvjphf,friend1,climate_concern,4
b4wvjphf,friend2,climate_concern,2
b4wvjphf,friend3,climate_concern,1
b4wvjphf,GreenVoter,climate_concern,1
b4wvjphf,AfDVoter,climate_concern,4
b4wvjphf,P1,climate_concern,0
b4wvjphf,P2,climate_concern,0
b4wvjphf,P3,climate_concern,1
b4wvjphf,P4,climate_concern,0
b4wvjphf,self,gay_adoption,1
b4wvjphf,friend1,gay_adoption,4
b4wvjphf,friend2,gay_adoption,3
b4wvjphf,friend3,gay_adoption,1
b4wvjphf,GreenVoter,gay_adoption,1
b4wvjphf,AfDVoter,gay_adoption,5
b4wvjphf,P1,gay_adoption,0
b4wvjphf,P2,gay_adoption,-1
b4wvjphf,P3,gay_adoption,1
b4wvjphf,P4,gay_adoption,0
b4wvjphf,self,migration_enriches_culture,3
b4wvjphf,friend1,migration_enriches_culture,5
b4wvjphf,friend2,migration_enriches_culture,4
b4wvjphf,friend3,migration_enriches_culture,2
b4wvjphf,GreenVoter,migration_enriches_culture,2
b4wvjphf,AfDVoter,migration_enriches_culture,5
b4wvjphf,P1,migration_enriches_culture,0
b4wvjphf,P2,migration_enriches_culture,0
b4wvjphf,P3,migration_enriches_culture,1
b4wvjphf,P4,migration_enriches_culture,-1
b4wvjphf,self,govt_reduce_inequ,3
